FID	IID	ethnic_group
M11051111	M11051111	Malay
M11051803	M11051803	Malay
M11052809	M11052809	Malay
M11060920	M11060920	Malay
M11052802	M11052802	Malay
M11070602	M11070602	Malay
M11051210	M11051210	Malay
M11050415	M11050415	Malay
M11051903	M11051903	Malay
M11051209	M11051209	Malay
M11060912	M11060912	Malay
M11050516	M11050516	Malay
M11062205	M11062205	Malay
M11050403	M11050403	Malay
M11050410	M11050410	Malay
M11052506	M11052506	Malay
M11051909	M11051909	Malay
M11050412	M11050412	Malay
M11050505	M11050505	Malay
M11060919	M11060919	Malay
M11050504	M11050504	Malay
M11050406	M11050406	Malay
M11051115	M11051115	Malay
M11051106	M11051106	Malay
M11051107	M11051107	Malay
M11062516	M11062516	Indian
M11073013	M11073013	Indian
M11072001	M11072001	Indian
M11062208	M11062208	Indian
M11061508	M11061508	Indian
M11060917	M11060917	Indian
M11062211	M11062211	Indian
M11062507	M11062507	Indian
M11062505	M11062505	Indian
M11060911	M11060911	Indian
M11062517	M11062517	Indian
M11052816	M11052816	Indian
M11060918	M11060918	Indian
M11060906	M11060906	Indian
M11081709	M11081709	Indian
M11062522	M11062522	Indian
M11060109	M11060109	Indian
M11072301	M11072301	Indian
M11062203	M11062203	Indian
M11061509	M11061509	Indian
M11070601	M11070601	Indian
M11072303	M11072303	Indian
M11062523	M11062523	Indian
M11081307	M11081307	Indian
M11081308	M11081308	Indian
M11072321	M11072321	Indian
M11070610	M11070610	Indian
M11061506	M11061506	Indian
M11062503	M11062503	Indian
M11060901	M11060901	Indian
M11060921	M11060921	Indian
M11062501	M11062501	Indian
M11060110	M11060110	Indian
M11062905	M11062905	Indian
M11060205	M11060205	Indian
M11060107	M11060107	Indian
M11062510	M11062510	Indian
M11072323	M11072323	Indian
M11060108	M11060108	Indian
M11060914	M11060914	Indian
M11052803	M11052803	Indian
M11082005	M11082005	Indian
M11062913	M11062913	Indian
M11062212	M11062212	Indian
M11060916	M11060916	Indian
M11081707	M11081707	Indian
M11061503	M11061503	Indian
M11060923	M11060923	Indian
M11061511	M11061511	Indian
M11061505	M11061505	Indian
M11080307	M11080307	Indian
M11072310	M11072310	Indian
M11060204	M11060204	Indian
M11062912	M11062912	Indian
M11062207	M11062207	Indian
M11062514	M11062514	Indian
M11052807	M11052807	Indian
M11060114	M11060114	Indian
M11062202	M11062202	Indian
M11060112	M11060112	Indian
M11062521	M11062521	Indian
M11061604	M11061604	Indian
M11062910	M11062910	Indian
M11061510	M11061510	Indian
M11072307	M11072307	Indian
M11071306	M11071306	Indian
M11081302	M11081302	Indian
M11072010	M11072010	Indian
M11072322	M11072322	Indian
M11062509	M11062509	Indian
M11073002	M11073002	Indian
M11081309	M11081309	Indian
M11081310	M11081310	Indian
M11062512	M11062512	Indian
M11062518	M11062518	Indian
M11062520	M11062520	Indian
M11070608	M11070608	Indian
M11062201	M11062201	Indian
M11060111	M11060111	Indian
M11062213	M11062213	Indian
M11052817	M11052817	Indian
M11062206	M11062206	Indian
M11073004	M11073004	Indian
M11072318	M11072318	Indian
M11062502	M11062502	Indian
M11060907	M11060907	Indian
M11060113	M11060113	Indian
M11060922	M11060922	Indian
M11062513	M11062513	Indian
M11062209	M11062209	Indian
M11072319	M11072319	Indian
M11060909	M11060909	Indian
M11072304	M11072304	Indian
M11081314	M11081314	Indian
M11081315	M11081315	Indian
M11081301	M11081301	Indian
M11072701	M11072701	Indian
M11061507	M11061507	Indian
M11052501	M11052501	Indian
M11052804	M11052804	Indian
M11062210	M11062210	Indian
M11060106	M11060106	Indian
M11060905	M11060905	Indian
M11060102	M11060102	Indian
M11060902	M11060902	Indian
M11060104	M11060104	Indian
M11060105	M11060105	Indian
M11073019	M11073019	Indian
M11072313	M11072313	Indian
M11072314	M11072314	Indian
M11062214	M11062214	Indian
M11082015	M11082015	Indian
M11062515	M11062515	Indian
M11072007	M11072007	Indian
M11061607	M11061607	Indian
M11052810	M11052810	Indian
M11061606	M11061606	Indian
M11062519	M11062519	Indian
M11060207	M11060207	Indian
M11062909	M11062909	Indian
